id_equipamento,chuva_acumulada_mm,umidade_solo_pct,inclinacao_graus,peso_maquina_ton,distancia_corpo_agua_m,ocorreu_acidente
COLHEITADEIRA-II,47.71,40.6,12.77,12.96,859.32,0
TRATOR-I,32.91,36.59,22.43,11.46,110.02,0
COLHEITADEIRA-II,118.08,88.24,16.32,12.5,947.43,0
TRATOR-II,49.12,53.99,6.65,23.86,423.36,0
TRATOR-II,107.29,96.8,24.56,22.32,9.31,1
TRATOR-I,27.59,40.77,19.48,15.31,442.39,0
TRATOR-II,25.57,27.08,12.55,19.84,46.07,0
PULVERIZADOR-I,3.74,40.98,31.9,18.06,543.88,0
TRATOR-II,78.2,85.2,0.73,20.16,338.55,0
COLHEITADEIRA-II,44.22,60.09,11.05,20.24,473.43,0
COLHEITADEIRA-II,103.72,100.0,1.99,19.43,613.17,0
COLHEITADEIRA-II,56.79,60.41,26.83,13.99,868.8,0
COLHEITADEIRA-II,116.18,100.0,24.57,10.59,661.9,1
PULVERIZADOR-I,22.26,25.63,11.6,16.83,434.05,0
COLHEITADEIRA-I,104.23,83.51,23.65,23.36,819.43,0
TRATOR-I,93.19,72.68,13.86,18.54,905.58,0
COLHEITADEIRA-II,92.51,71.38,26.47,22.49,119.76,1
TRATOR-II,101.37,75.05,15.9,24.87,531.93,0
COLHEITADEIRA-II,91.32,83.47,14.43,12.45,284.51,0
TRATOR-II,75.15,78.53,32.72,20.38,47.06,1
TRATOR-II,15.75,36.8,8.78,20.11,668.55,0
COLHEITADEIRA-II,3.9,16.75,4.22,24.7,862.77,0
PULVERIZADOR-I,110.5,100.0,20.46,24.78,162.9,1
TRATOR-II,74.0,73.48,33.93,20.3,812.41,1
TRATOR-II,95.58,79.0,13.22,13.65,853.4,0
COLHEITADEIRA-II,57.78,64.89,2.17,21.98,914.34,0
TRATOR-II,14.08,26.24,11.88,11.61,265.29,0
TRATOR-II,15.02,29.37,17.71,21.71,903.95,0
COLHEITADEIRA-II,82.27,86.89,5.67,23.65,320.66,0
COLHEITADEIRA-II,51.64,49.7,23.03,15.74,552.34,0
TRATOR-I,24.06,38.54,34.92,19.46,50.51,1
PULVERIZADOR-I,58.99,72.1,15.81,16.45,43.88,1
PULVERIZADOR-I,7.71,35.85,12.42,16.57,720.37,0
TRATOR-II,69.84,53.77,14.02,14.66,444.48,0
PULVERIZADOR-I,32.28,33.79,4.03,21.43,256.29,0
TRATOR-II,95.71,67.66,30.91,24.04,190.41,1
TRATOR-I,37.24,51.27,14.52,24.11,669.95,0
COLHEITADEIRA-II,54.63,56.21,13.55,12.62,0.4,0
COLHEITADEIRA-II,1.39,14.86,23.09,23.12,805.89,0
COLHEITADEIRA-II,8.69,43.95,15.47,21.06,79.25,1
PULVERIZADOR-I,47.1,54.15,22.69,13.79,191.49,1
TRATOR-I,57.59,51.81,2.15,11.01,386.24,0
PULVERIZADOR-I,72.0,68.22,28.48,14.02,484.86,1
PULVERIZADOR-I,35.0,51.39,32.92,23.68,355.0,1
TRATOR-I,83.4,62.33,22.71,19.5,320.71,1
TRATOR-I,103.21,80.17,33.41,20.82,963.92,1
TRATOR-I,93.58,90.36,5.3,13.86,641.58,0
TRATOR-I,4.75,26.64,16.71,20.79,23.43,0
COLHEITADEIRA-II,57.66,60.99,21.06,10.42,430.18,0
COLHEITADEIRA-I,12.59,30.54,20.36,15.63,875.01,0
COLHEITADEIRA-I,29.05,28.74,14.05,19.4,301.46,0
TRATOR-I,118.4,86.01,11.83,12.19,94.56,0
COLHEITADEIRA-I,17.1,33.63,4.44,22.35,758.38,0
COLHEITADEIRA-I,59.87,52.2,13.71,13.53,606.01,0
TRATOR-I,74.18,56.01,5.69,19.78,570.31,0
COLHEITADEIRA-I,84.3,85.89,25.7,16.08,53.58,1
PULVERIZADOR-I,67.16,79.73,7.31,18.94,140.5,0
TRATOR-II,1.17,34.5,2.05,11.61,622.55,0
TRATOR-II,39.18,59.12,19.33,10.25,207.82,0
TRATOR-I,62.13,54.53,20.83,23.64,504.07,0
COLHEITADEIRA-II,10.54,45.15,30.52,14.04,544.88,0
TRATOR-I,42.08,41.15,20.19,22.3,283.51,0
COLHEITADEIRA-II,3.98,40.93,12.09,24.99,948.43,0
TRATOR-II,9.43,45.5,28.11,13.17,842.46,0
TRATOR-I,47.63,59.93,18.91,13.98,722.37,0
PULVERIZADOR-I,15.93,48.99,2.77,19.94,77.99,0
COLHEITADEIRA-I,68.1,67.95,19.8,24.48,106.13,0
COLHEITADEIRA-II,82.74,67.43,31.78,23.74,492.78,1
COLHEITADEIRA-I,96.07,80.75,13.87,17.54,160.71,0
COLHEITADEIRA-I,24.02,42.22,10.37,21.93,978.27,0
TRATOR-I,20.1,24.25,5.02,12.04,158.52,0
COLHEITADEIRA-I,12.55,36.2,5.3,24.66,487.47,0
PULVERIZADOR-I,76.37,85.26,15.15,24.47,364.12,0
COLHEITADEIRA-I,84.78,66.57,20.85,12.46,639.39,0
TRATOR-I,3.79,36.05,2.82,14.49,129.04,0
PULVERIZADOR-I,112.35,100.0,32.88,11.5,430.32,1
TRATOR-II,6.24,42.05,26.43,14.08,274.71,0
COLHEITADEIRA-I,64.96,77.78,20.53,22.24,887.75,0
TRATOR-I,85.09,76.7,29.0,15.67,40.59,1
TRATOR-II,104.52,100.0,2.81,11.33,913.73,0
TRATOR-II,85.69,84.13,16.69,15.13,832.99,1
COLHEITADEIRA-II,96.21,72.57,22.05,24.72,297.57,1
PULVERIZADOR-I,40.73,48.75,29.0,19.45,789.29,1
COLHEITADEIRA-I,97.78,90.22,27.42,16.24,31.21,1
TRATOR-I,9.61,23.19,9.7,12.5,966.87,0
COLHEITADEIRA-II,107.38,93.65,32.93,24.79,526.59,1
PULVERIZADOR-I,65.71,69.42,4.35,22.31,303.28,0
COLHEITADEIRA-II,98.08,73.73,30.63,14.22,362.58,1
PULVERIZADOR-I,54.28,59.52,33.98,11.05,66.41,1
PULVERIZADOR-I,77.23,79.49,6.2,10.85,989.35,0
COLHEITADEIRA-I,63.17,62.87,25.27,11.81,39.29,1
PULVERIZADOR-I,87.79,63.04,1.41,18.71,654.91,0
COLHEITADEIRA-II,9.8,16.15,14.19,23.93,442.74,0
PULVERIZADOR-I,7.24,25.06,18.07,17.45,948.92,0
COLHEITADEIRA-I,29.65,55.58,20.32,22.64,246.0,1
COLHEITADEIRA-I,19.15,28.35,32.76,16.69,532.09,1
COLHEITADEIRA-II,104.61,91.8,23.53,20.63,482.36,1
TRATOR-II,26.31,32.45,16.84,20.98,702.87,0
TRATOR-II,117.1,89.91,28.34,12.61,68.01,1
PULVERIZADOR-I,40.43,59.7,33.27,15.42,193.79,1
TRATOR-I,21.85,44.98,0.77,19.56,214.56,0
PULVERIZADOR-I,94.76,69.72,34.39,11.06,738.15,0
COLHEITADEIRA-II,79.04,70.29,3.01,15.42,189.14,0
COLHEITADEIRA-II,59.78,46.75,28.5,18.02,573.49,1
COLHEITADEIRA-II,66.64,64.41,9.81,24.94,215.24,0
COLHEITADEIRA-II,86.3,81.66,4.63,17.12,861.62,0
COLHEITADEIRA-II,27.41,30.0,15.39,22.24,942.19,0
COLHEITADEIRA-I,119.56,90.4,22.54,16.48,518.49,0
TRATOR-II,116.98,92.12,13.33,21.95,352.31,0
COLHEITADEIRA-II,78.04,84.41,1.91,18.93,234.06,0
TRATOR-I,23.95,54.16,20.98,23.3,49.78,1
TRATOR-I,81.63,60.32,31.58,16.16,268.5,1
TRATOR-I,8.66,38.03,13.41,19.06,654.24,0
TRATOR-I,3.68,23.36,7.57,19.45,533.62,0
COLHEITADEIRA-I,30.92,40.33,15.49,16.26,944.04,0
TRATOR-I,55.51,65.94,1.69,12.16,396.28,0
COLHEITADEIRA-II,104.19,100.0,28.72,11.4,693.86,1
PULVERIZADOR-I,87.26,90.88,28.92,10.25,489.32,1
TRATOR-I,89.12,80.79,20.58,23.1,512.58,1
COLHEITADEIRA-I,51.06,51.35,12.36,13.55,267.77,0
COLHEITADEIRA-I,41.51,58.53,27.99,13.17,454.95,1
TRATOR-I,44.52,44.24,19.41,21.04,470.78,0
PULVERIZADOR-I,118.52,98.03,28.91,14.8,706.64,1
TRATOR-I,4.81,23.65,22.1,17.59,940.64,0
COLHEITADEIRA-I,104.04,92.13,27.45,12.44,329.32,1
TRATOR-II,69.44,58.88,20.95,24.4,42.2,1
COLHEITADEIRA-II,52.63,47.33,14.49,22.77,496.3,0
COLHEITADEIRA-I,87.03,89.77,33.53,22.96,544.46,1
TRATOR-I,58.4,48.09,18.94,16.1,168.44,1
COLHEITADEIRA-II,104.81,88.07,21.18,21.44,760.46,1
TRATOR-I,108.08,81.48,7.72,12.16,984.93,0
TRATOR-I,50.61,41.53,21.9,10.13,945.77,0
TRATOR-II,33.22,31.01,20.01,10.3,197.11,0
COLHEITADEIRA-II,71.08,57.91,6.47,18.8,875.36,0
COLHEITADEIRA-II,109.48,100.0,2.09,16.83,704.49,0
TRATOR-II,25.28,33.64,21.15,17.77,453.85,0
COLHEITADEIRA-I,74.76,83.37,26.73,10.11,540.61,1
TRATOR-I,75.79,72.92,18.32,16.34,849.6,0
PULVERIZADOR-I,87.97,75.88,7.94,20.77,480.13,0
TRATOR-I,15.79,36.88,23.33,16.64,373.21,0
TRATOR-I,85.9,77.04,2.8,20.98,493.25,0
COLHEITADEIRA-I,109.08,98.21,15.46,13.5,579.13,0
TRATOR-I,21.56,31.41,5.72,22.2,189.08,0
TRATOR-II,28.51,37.69,6.46,18.83,900.91,0
TRATOR-II,116.57,100.0,7.08,13.16,674.19,0
COLHEITADEIRA-II,21.72,51.42,13.53,13.55,633.27,0
PULVERIZADOR-I,102.53,98.29,1.79,19.42,99.5,1
TRATOR-I,59.07,58.03,13.92,22.45,604.17,0
TRATOR-I,29.67,51.21,17.91,16.23,120.96,0
COLHEITADEIRA-I,104.49,86.98,16.92,13.87,78.7,0
TRATOR-II,53.44,56.99,13.4,23.01,527.31,0
PULVERIZADOR-I,61.78,53.21,29.37,20.04,402.79,1
COLHEITADEIRA-II,43.11,53.6,5.09,16.72,588.81,0
TRATOR-II,71.15,58.28,17.7,17.32,89.22,0
COLHEITADEIRA-II,19.62,31.72,2.17,13.06,430.98,0
COLHEITADEIRA-I,46.93,63.81,2.49,19.4,174.79,0
COLHEITADEIRA-I,116.33,86.01,20.09,15.38,987.1,1
TRATOR-I,30.98,30.72,19.81,24.93,561.15,0
PULVERIZADOR-I,78.81,59.36,30.73,17.2,687.44,0
COLHEITADEIRA-II,39.02,61.64,19.53,17.29,325.42,0
TRATOR-II,92.82,80.9,33.59,18.49,94.74,1
COLHEITADEIRA-I,15.7,31.71,1.7,23.75,975.87,0
TRATOR-I,116.38,100.0,3.43,22.01,286.26,0
TRATOR-I,54.45,67.75,1.54,16.77,423.81,0
COLHEITADEIRA-II,28.33,36.96,6.48,20.78,649.86,0
COLHEITADEIRA-I,8.82,36.1,18.94,18.79,24.7,0
PULVERIZADOR-I,20.37,45.36,22.6,17.39,810.26,0
COLHEITADEIRA-I,62.37,67.06,1.6,12.88,536.58,0
COLHEITADEIRA-II,40.44,38.81,33.11,16.96,278.22,1
COLHEITADEIRA-II,99.47,95.96,29.48,13.69,61.61,1
COLHEITADEIRA-I,51.71,57.2,10.38,23.72,162.5,0
COLHEITADEIRA-II,29.85,36.38,2.7,15.03,895.03,0
COLHEITADEIRA-I,74.06,67.19,5.95,24.28,686.02,0
TRATOR-II,84.81,62.02,4.44,18.0,249.9,0
COLHEITADEIRA-I,20.05,25.86,4.31,19.47,65.6,0
COLHEITADEIRA-I,20.11,45.03,18.15,18.14,690.62,0
COLHEITADEIRA-II,4.4,12.64,8.6,11.94,572.41,0
COLHEITADEIRA-II,88.37,75.52,12.53,15.64,404.52,0
TRATOR-I,79.66,73.47,34.63,11.49,363.61,1
TRATOR-I,56.96,45.81,23.95,19.34,216.81,0
TRATOR-II,101.3,99.97,33.21,16.7,669.61,1
TRATOR-I,96.68,74.79,4.99,21.67,970.67,0
COLHEITADEIRA-I,70.24,61.27,13.37,13.31,175.72,1
COLHEITADEIRA-II,104.19,81.63,19.42,12.47,597.12,0
TRATOR-I,24.7,31.73,2.69,16.09,424.19,0
TRATOR-I,13.43,18.1,0.15,23.9,446.69,0
TRATOR-II,32.37,51.3,23.47,20.66,254.15,0
TRATOR-II,6.85,43.12,22.46,16.28,825.13,0
COLHEITADEIRA-I,63.74,54.97,14.38,17.76,485.26,0
COLHEITADEIRA-II,112.39,97.33,17.14,11.26,543.41,0
TRATOR-II,4.72,35.09,14.54,24.77,304.76,0
TRATOR-I,14.65,44.24,0.84,20.0,181.81,0
COLHEITADEIRA-II,54.26,55.24,11.74,14.28,85.91,0
COLHEITADEIRA-II,112.07,86.33,6.2,18.79,714.12,0
TRATOR-I,37.94,42.52,3.44,11.64,196.23,0
TRATOR-II,60.87,67.9,33.49,24.49,690.08,1
TRATOR-I,4.99,37.5,20.98,12.62,390.38,0
COLHEITADEIRA-II,17.8,26.13,25.5,19.72,415.77,0
PULVERIZADOR-I,118.4,92.17,11.04,13.68,469.18,0
PULVERIZADOR-I,115.81,100.0,13.76,20.76,367.71,1
COLHEITADEIRA-I,0.59,34.56,8.29,21.65,100.62,0
TRATOR-I,114.22,100.0,3.39,20.1,309.63,0
TRATOR-I,76.69,78.64,6.27,19.22,663.73,0
COLHEITADEIRA-I,104.15,84.29,27.91,23.39,665.78,1
COLHEITADEIRA-I,54.57,60.46,23.71,11.18,286.22,0
COLHEITADEIRA-I,61.87,66.95,19.14,14.96,460.1,0
COLHEITADEIRA-II,58.66,47.55,16.63,13.72,193.45,0
TRATOR-I,80.02,74.35,32.29,24.82,210.37,1
COLHEITADEIRA-II,16.76,41.33,2.55,15.84,23.05,0
COLHEITADEIRA-I,3.6,17.18,9.82,20.99,896.75,0
TRATOR-I,36.95,55.59,12.25,20.27,210.71,0
COLHEITADEIRA-II,84.56,78.25,27.38,13.18,227.53,1
COLHEITADEIRA-II,24.22,53.1,34.74,13.58,279.6,1
COLHEITADEIRA-I,80.81,59.76,8.42,14.22,127.41,0
TRATOR-I,116.39,87.79,30.6,16.17,639.26,1
COLHEITADEIRA-I,11.27,34.81,29.07,13.51,75.14,1
TRATOR-I,80.71,67.32,7.86,10.29,134.2,0
PULVERIZADOR-I,53.25,63.38,13.98,23.19,644.76,0
TRATOR-II,104.18,95.28,14.34,24.48,339.66,1
TRATOR-II,21.26,25.83,34.24,15.12,707.95,0
TRATOR-II,83.12,75.28,6.33,15.08,557.42,0
COLHEITADEIRA-I,100.57,85.61,27.97,10.11,256.02,0
PULVERIZADOR-I,113.35,89.09,11.7,20.2,650.83,0
TRATOR-I,81.99,87.18,25.58,22.38,116.27,1
COLHEITADEIRA-II,59.66,70.62,14.7,12.2,536.41,0
TRATOR-I,74.14,75.4,20.24,12.39,437.15,0
COLHEITADEIRA-II,104.27,93.99,29.14,21.85,267.87,1
TRATOR-I,68.47,64.94,28.15,19.24,604.0,0
PULVERIZADOR-I,3.65,39.82,30.32,10.67,871.33,0
COLHEITADEIRA-II,111.71,97.87,2.09,19.34,998.9,0
COLHEITADEIRA-I,82.74,81.52,24.22,14.63,607.76,0
TRATOR-I,81.18,84.56,4.9,15.53,404.71,0
TRATOR-I,25.88,33.75,14.55,21.55,225.21,0
COLHEITADEIRA-II,79.07,81.65,19.2,22.16,257.1,1
COLHEITADEIRA-I,47.26,44.22,14.1,16.01,479.45,0
COLHEITADEIRA-I,78.15,67.25,18.19,24.21,367.28,0
PULVERIZADOR-I,12.79,27.74,34.88,16.1,913.81,1
COLHEITADEIRA-I,78.94,86.72,4.73,21.58,368.3,0
COLHEITADEIRA-I,119.93,100.0,23.64,17.26,373.44,1
COLHEITADEIRA-I,5.79,34.51,13.86,23.46,383.53,0
TRATOR-II,117.26,100.0,4.66,23.62,836.62,0
PULVERIZADOR-I,48.83,56.16,5.56,11.31,650.79,0
TRATOR-I,104.49,100.0,33.22,24.05,614.17,1
COLHEITADEIRA-II,93.89,81.22,30.79,22.38,334.14,1
TRATOR-I,68.04,62.24,31.75,21.87,817.9,1
PULVERIZADOR-I,88.61,68.06,34.7,13.01,38.36,1
COLHEITADEIRA-II,105.42,96.84,7.29,22.08,870.8,0
PULVERIZADOR-I,48.5,61.13,12.44,22.75,512.75,0
COLHEITADEIRA-I,39.24,45.08,23.42,14.34,398.25,0
COLHEITADEIRA-II,80.11,58.82,16.93,24.28,497.17,0
COLHEITADEIRA-I,96.94,93.33,14.64,10.75,667.42,0
TRATOR-I,91.47,65.23,12.52,12.25,12.77,1
TRATOR-I,95.74,88.55,20.78,18.06,871.55,1
COLHEITADEIRA-II,52.27,70.47,20.15,18.64,446.74,0
COLHEITADEIRA-II,98.14,82.01,5.65,19.68,342.97,0
PULVERIZADOR-I,14.43,25.7,16.51,10.25,138.25,0
PULVERIZADOR-I,65.34,70.35,19.37,24.41,439.47,0
COLHEITADEIRA-I,0.69,34.93,19.96,10.67,496.32,0
COLHEITADEIRA-II,38.95,49.76,7.35,12.15,403.65,0
TRATOR-I,43.98,65.4,25.98,10.21,678.66,0
PULVERIZADOR-I,47.54,40.07,0.88,18.5,420.9,0
PULVERIZADOR-I,83.46,75.22,12.42,23.98,961.42,0
TRATOR-I,46.63,59.53,27.31,19.99,599.28,0
PULVERIZADOR-I,53.84,68.19,19.74,22.34,807.48,0
COLHEITADEIRA-I,28.51,32.48,9.14,10.2,109.36,0
COLHEITADEIRA-II,44.79,60.87,24.32,18.13,397.29,0
TRATOR-I,27.27,42.94,19.86,16.89,336.85,0
COLHEITADEIRA-II,8.78,27.17,27.87,17.48,569.48,0
PULVERIZADOR-I,72.41,57.4,25.73,11.08,861.11,0
PULVERIZADOR-I,80.19,84.07,21.35,20.27,78.34,0
TRATOR-I,74.34,59.32,17.09,17.55,72.57,1
COLHEITADEIRA-I,55.62,52.67,4.66,21.48,850.32,0
TRATOR-II,45.57,46.05,9.15,17.28,212.85,0
TRATOR-I,103.6,98.3,14.67,12.24,668.75,0
TRATOR-II,62.29,67.55,20.98,19.72,542.88,0
TRATOR-II,57.5,68.4,17.98,12.59,832.89,0
COLHEITADEIRA-I,3.08,19.36,10.09,23.09,125.09,0
TRATOR-II,40.95,53.32,0.23,19.2,129.78,0
TRATOR-II,45.62,54.53,17.37,12.36,556.82,0
COLHEITADEIRA-I,47.86,63.7,10.0,24.44,946.38,0
TRATOR-II,69.62,78.96,25.71,17.78,415.0,1
TRATOR-II,64.03,48.78,0.84,11.09,326.94,0
TRATOR-II,72.95,73.99,20.47,19.4,606.69,0
TRATOR-I,91.79,66.63,32.95,13.8,930.45,1
TRATOR-I,97.56,85.0,6.1,22.06,836.93,0
TRATOR-I,86.17,70.33,16.51,22.27,995.48,0
COLHEITADEIRA-I,114.66,88.0,3.2,24.68,22.57,0
PULVERIZADOR-I,2.19,21.9,21.9,17.53,112.86,0
TRATOR-II,23.49,42.73,19.27,16.82,609.47,0
TRATOR-II,0.91,20.57,14.26,21.3,820.58,0
COLHEITADEIRA-I,77.7,78.6,18.25,11.99,285.24,1
TRATOR-II,107.76,86.79,31.38,18.2,239.21,1
TRATOR-I,29.22,29.58,6.87,18.19,786.98,0
PULVERIZADOR-I,111.24,100.0,0.79,11.34,56.38,0
COLHEITADEIRA-II,7.23,22.91,30.16,16.27,369.38,0
TRATOR-II,112.13,90.26,20.2,22.8,505.81,1
TRATOR-I,42.19,55.88,31.17,22.84,560.35,1
COLHEITADEIRA-II,12.17,27.28,20.89,11.49,728.62,0
PULVERIZADOR-I,58.3,46.68,28.36,11.36,354.85,1
COLHEITADEIRA-II,30.81,39.71,15.04,13.94,612.68,0
TRATOR-I,34.18,58.84,26.25,23.12,585.38,0
COLHEITADEIRA-II,36.87,51.38,31.96,11.93,547.62,0
COLHEITADEIRA-I,96.36,87.96,20.02,20.8,640.48,1
COLHEITADEIRA-II,64.7,67.79,6.33,11.52,259.45,0
TRATOR-II,37.36,38.38,9.41,19.35,84.65,0
TRATOR-II,73.24,66.49,6.95,15.34,119.27,0
COLHEITADEIRA-I,85.94,84.09,8.64,21.83,224.58,0
TRATOR-I,32.71,32.67,10.72,13.51,500.2,0
TRATOR-II,49.63,48.11,19.43,19.59,840.44,0
PULVERIZADOR-I,14.63,27.07,20.58,13.54,701.29,0
TRATOR-II,21.74,36.0,14.93,20.7,789.04,0
TRATOR-II,81.73,88.45,21.54,23.11,350.98,0
TRATOR-I,21.77,25.09,2.86,11.9,404.65,0
COLHEITADEIRA-II,63.02,63.37,3.07,23.0,393.68,0
TRATOR-II,85.09,66.43,6.01,18.9,191.87,0
COLHEITADEIRA-I,12.83,46.82,18.13,11.91,61.22,0
COLHEITADEIRA-II,68.08,54.25,7.49,16.41,590.92,0
PULVERIZADOR-I,30.79,40.58,9.91,12.41,989.22,0
TRATOR-I,115.55,100.0,14.01,20.51,166.83,1
PULVERIZADOR-I,58.03,65.95,28.42,21.38,46.68,1
COLHEITADEIRA-II,96.72,80.71,0.49,11.59,779.53,0
COLHEITADEIRA-II,66.03,60.01,22.73,17.59,252.59,0
COLHEITADEIRA-II,5.21,25.05,23.41,22.22,829.64,0
PULVERIZADOR-I,75.98,63.52,27.95,24.04,703.94,1
COLHEITADEIRA-II,114.17,84.66,32.65,17.7,945.67,1
PULVERIZADOR-I,72.19,67.81,0.7,24.25,408.93,0
COLHEITADEIRA-II,98.3,77.04,5.38,18.04,661.97,0
COLHEITADEIRA-I,106.1,82.29,31.02,15.91,464.85,1
COLHEITADEIRA-II,27.37,46.12,16.05,22.72,630.59,0
PULVERIZADOR-I,25.45,54.32,19.76,17.39,449.6,1
TRATOR-II,73.32,72.1,23.21,17.08,188.63,1
COLHEITADEIRA-II,49.32,41.9,23.77,17.35,507.9,0
TRATOR-II,100.78,72.74,32.61,22.7,528.58,1
COLHEITADEIRA-I,108.0,100.0,34.89,22.48,810.6,1
TRATOR-I,42.41,44.37,25.21,16.05,735.52,0
COLHEITADEIRA-I,28.42,29.82,10.05,15.0,663.79,0
COLHEITADEIRA-II,93.66,84.17,30.79,17.38,113.39,1
TRATOR-II,32.98,48.5,1.72,18.59,720.62,0
TRATOR-II,98.71,88.68,8.09,13.58,500.31,0
PULVERIZADOR-I,50.85,48.53,31.41,21.91,894.1,1
TRATOR-II,80.11,58.52,8.97,17.3,919.87,0
PULVERIZADOR-I,11.46,45.83,7.72,15.01,55.16,0
TRATOR-I,74.86,62.44,4.83,11.6,820.64,0
COLHEITADEIRA-II,54.21,62.81,30.07,13.58,37.7,1
PULVERIZADOR-I,70.39,73.43,17.5,24.24,367.17,0
TRATOR-I,20.16,40.4,23.62,14.58,542.3,1
TRATOR-II,88.42,72.44,8.37,12.53,148.1,0
TRATOR-II,103.54,80.25,26.53,16.91,746.31,0
TRATOR-I,26.01,43.54,26.6,14.61,8.35,1
TRATOR-II,11.49,42.87,10.94,10.53,168.6,0
TRATOR-I,2.84,40.1,14.37,14.85,580.8,0
PULVERIZADOR-I,77.04,59.4,7.34,18.16,714.39,0
PULVERIZADOR-I,72.85,58.36,34.18,18.28,916.64,1
TRATOR-I,65.6,77.7,22.6,15.35,705.5,1
PULVERIZADOR-I,27.83,48.8,32.71,16.71,671.78,1
PULVERIZADOR-I,46.91,64.64,10.62,24.48,394.34,0
PULVERIZADOR-I,71.34,58.88,27.37,15.66,1.28,1
COLHEITADEIRA-I,59.61,63.39,26.81,13.87,120.16,1
COLHEITADEIRA-II,118.53,100.0,24.21,13.65,534.55,1
TRATOR-II,16.37,40.23,33.8,16.87,675.13,1
COLHEITADEIRA-I,83.42,72.29,13.77,21.39,417.45,0
PULVERIZADOR-I,48.52,39.57,4.58,13.09,730.68,0
TRATOR-I,51.38,58.32,23.51,20.64,521.86,0
PULVERIZADOR-I,86.11,69.26,25.53,10.32,74.18,1
COLHEITADEIRA-II,83.09,73.36,20.13,16.28,192.02,1
PULVERIZADOR-I,118.95,100.0,7.24,21.64,840.0,0
TRATOR-I,15.41,31.22,17.66,15.08,724.91,0
COLHEITADEIRA-II,12.49,42.69,10.93,18.46,894.76,0
PULVERIZADOR-I,86.92,67.81,14.96,13.07,117.56,0
COLHEITADEIRA-II,69.41,71.82,22.58,21.13,990.22,0
TRATOR-II,32.9,59.05,26.08,10.78,209.41,0
TRATOR-II,9.53,18.77,8.13,22.79,11.78,0
PULVERIZADOR-I,10.28,16.42,14.19,12.97,997.42,0
COLHEITADEIRA-II,107.3,87.39,9.42,23.12,281.07,0
TRATOR-I,23.02,26.59,6.95,15.29,668.02,0
PULVERIZADOR-I,38.8,55.73,27.42,20.84,176.68,1
TRATOR-II,27.2,53.76,31.82,14.79,580.23,1
TRATOR-II,42.6,48.58,12.96,23.59,904.03,0
PULVERIZADOR-I,8.33,22.76,26.29,11.9,320.18,0
COLHEITADEIRA-II,62.29,60.4,31.39,12.68,670.25,1
TRATOR-II,8.11,36.57,29.61,17.4,187.9,1
COLHEITADEIRA-II,96.04,67.9,6.4,11.23,624.8,0
